,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
5194,5194.0,111.0,1.0,PHP 5.4.24 and PHP 5.3.28,composer_composer_issues_2830,5194.0,111.0,0.0,PHP 5.4.24 and PHP 5.3.28,composer_composer_issues_2830
5197,5197.0,114.0,1.0,OpenSSL 1.0.1e-fips 11 Feb 2013,composer_composer_issues_2830,5197.0,114.0,0.0,OpenSSL 1.0.1e-fips 11 Feb 2013,composer_composer_issues_2830
5222,5222.0,24.0,1.0,Two-Factor Authentication via Nextcloud notification	1.1.1,nextcloud_server_issues_16415,5222.0,24.0,0.0,Two-Factor Authentication via Nextcloud notification	1.1.1		 ,nextcloud_server_issues_16415
5223,5223.0,25.0,1.0,Accessibility	1.2.0,nextcloud_server_issues_16415,5223.0,25.0,0.0,Accessibility	1.2.0		,nextcloud_server_issues_16415
5224,5224.0,26.0,1.0,Activity	2.9.1,nextcloud_server_issues_16415,5224.0,26.0,0.0,Activity	2.9.1		,nextcloud_server_issues_16415
5225,5225.0,27.0,1.0,Auditing / Logging	1.6.0,nextcloud_server_issues_16415,5225.0,27.0,0.0,Auditing / Logging	1.6.0		,nextcloud_server_issues_16415
5226,5226.0,28.0,1.0,Checksum	0.4.3,nextcloud_server_issues_16415,5226.0,28.0,0.0,Checksum	0.4.3		,nextcloud_server_issues_16415
5227,5227.0,29.0,1.0,Collaborative tags	1.6.0,nextcloud_server_issues_16415,5227.0,29.0,0.0,Collaborative tags	1.6.0		,nextcloud_server_issues_16415
5228,5228.0,30.0,1.0,Comments	1.6.0,nextcloud_server_issues_16415,5228.0,30.0,0.0,Comments	1.6.0		,nextcloud_server_issues_16415
5229,5229.0,31.0,1.0,Deleted files	1.6.0,nextcloud_server_issues_16415,5229.0,31.0,0.0,Deleted files	1.6.0		,nextcloud_server_issues_16415
5230,5230.0,32.0,1.0,External storage support	1.7.0,nextcloud_server_issues_16415,5230.0,32.0,0.0,External storage support	1.7.0		,nextcloud_server_issues_16415
5231,5231.0,33.0,1.0,Federation	1.6.0,nextcloud_server_issues_16415,5231.0,33.0,0.0,Federation	1.6.0		,nextcloud_server_issues_16415
5232,5232.0,34.0,1.0,File sharing	1.8.0,nextcloud_server_issues_16415,5232.0,34.0,0.0,File sharing	1.8.0		,nextcloud_server_issues_16415
5233,5233.0,35.0,1.0,First run wizard	2.5.0,nextcloud_server_issues_16415,5233.0,35.0,0.0,First run wizard	2.5.0		,nextcloud_server_issues_16415
5234,5234.0,36.0,1.0,Gallery	18.3.0,nextcloud_server_issues_16415,5234.0,36.0,0.0,Gallery	18.3.0		,nextcloud_server_issues_16415
5235,5235.0,37.0,1.0,Impersonate	1.3.0,nextcloud_server_issues_16415,5235.0,37.0,0.0,Impersonate	1.3.0		,nextcloud_server_issues_16415
5236,5236.0,38.0,1.0,LDAP user and group backend	1.6.0,nextcloud_server_issues_16415,5236.0,38.0,0.0,LDAP user and group backend	1.6.0		,nextcloud_server_issues_16415
5237,5237.0,39.0,1.0,Log Reader	2.1.0,nextcloud_server_issues_16415,5237.0,39.0,0.0,Log Reader	2.1.0		,nextcloud_server_issues_16415
5238,5238.0,40.0,1.0,Markdown Editor	2.0.6,nextcloud_server_issues_16415,5238.0,40.0,0.0,Markdown Editor	2.0.6		,nextcloud_server_issues_16415
5239,5239.0,41.0,1.0,Monitoring	1.6.0,nextcloud_server_issues_16415,5239.0,41.0,0.0,Monitoring	1.6.0		,nextcloud_server_issues_16415
5240,5240.0,42.0,1.0,Nextcloud announcements	1.5.0,nextcloud_server_issues_16415,5240.0,42.0,0.0,Nextcloud announcements	1.5.0		,nextcloud_server_issues_16415
5241,5241.0,43.0,1.0,Notifications	2.4.1,nextcloud_server_issues_16415,5241.0,43.0,0.0,Notifications	2.4.1		,nextcloud_server_issues_16415
5242,5242.0,44.0,1.0,Password policy	1.6.0,nextcloud_server_issues_16415,5242.0,44.0,0.0,Password policy	1.6.0		,nextcloud_server_issues_16415
5243,5243.0,45.0,1.0,PDF viewer	1.5.0,nextcloud_server_issues_16415,5243.0,45.0,0.0,PDF viewer	1.5.0		,nextcloud_server_issues_16415
5244,5244.0,46.0,1.0,Preview Generator	2.1.0,nextcloud_server_issues_16415,5244.0,46.0,0.0,Preview Generator	2.1.0		,nextcloud_server_issues_16415
5245,5245.0,47.0,1.0,Privacy	1.0.0,nextcloud_server_issues_16415,5245.0,47.0,0.0,Privacy	1.0.0		,nextcloud_server_issues_16415
5246,5246.0,48.0,1.0,Recommendations	0.4.0,nextcloud_server_issues_16415,5246.0,48.0,0.0,Recommendations	0.4.0		,nextcloud_server_issues_16415
5247,5247.0,49.0,1.0,Right click	0.13.0,nextcloud_server_issues_16415,5247.0,49.0,0.0,Right click	0.13.0		,nextcloud_server_issues_16415
5248,5248.0,50.0,1.0,Share by mail	1.6.0,nextcloud_server_issues_16415,5248.0,50.0,0.0,Share by mail	1.6.0		,nextcloud_server_issues_16415
5249,5249.0,51.0,1.0,Support	1.0.0,nextcloud_server_issues_16415,5249.0,51.0,0.0,Support	1.0.0		,nextcloud_server_issues_16415
5250,5250.0,52.0,1.0,Text editor	2.8.0,nextcloud_server_issues_16415,5250.0,52.0,0.0,Text editor	2.8.0		,nextcloud_server_issues_16415
5251,5251.0,53.0,1.0,Theming	1.7.0,nextcloud_server_issues_16415,5251.0,53.0,0.0,Theming	1.7.0		,nextcloud_server_issues_16415
5252,5252.0,54.0,1.0,Two-Factor TOTP Provider	2.1.2,nextcloud_server_issues_16415,5252.0,54.0,0.0,Two-Factor TOTP Provider	2.1.2		,nextcloud_server_issues_16415
5253,5253.0,55.0,1.0,Update notification	1.6.0,nextcloud_server_issues_16415,5253.0,55.0,0.0,Update notification	1.6.0		,nextcloud_server_issues_16415
5254,5254.0,56.0,1.0,Usage survey	1.4.0,nextcloud_server_issues_16415,5254.0,56.0,0.0,Usage survey	1.4.0		,nextcloud_server_issues_16415
5255,5255.0,57.0,1.0,Versions	1.9.0,nextcloud_server_issues_16415,5255.0,57.0,0.0,Versions	1.9.0		,nextcloud_server_issues_16415
5256,5256.0,58.0,1.0,Video player	1.5.0,nextcloud_server_issues_16415,5256.0,58.0,0.0,Video player	1.5.0		,nextcloud_server_issues_16415
5257,5257.0,59.0,1.0,Viewer	1.0.0,nextcloud_server_issues_16415,5257.0,59.0,0.0,Viewer	1.0.0		,nextcloud_server_issues_16415
5258,5258.0,60.0,1.0,Default encryption module	2.4.0,nextcloud_server_issues_16415,5258.0,60.0,0.0,Default encryption module	2.4.0,nextcloud_server_issues_16415
5261,5261.0,1.0,1.0,**Symfony version affected**: 4.1.5,symfony_symfony_issues_28699,5261.0,1.0,0.0,**Symfony version affected**: 4.1.5,symfony_symfony_issues_28699
5465,5465.0,55.0,1.0,ConstraintValidator as a service. It is registered with autowiring and autoconfiguring:,symfony_symfony_issues_32739,5465.0,55.0,0.0,ConstraintValidator as a service. It is registered with autowiring and autoconfiguring:,symfony_symfony_issues_32739
5619,5619.0,14.0,1.0,```,laravel_framework_issues_1561,5619.0,14.0,0.0,```,laravel_framework_issues_1561
5679,5679.0,22.0,1.0,> When you have a return type declaration present there MUST be one space after the colon followed by the type declaration. The colon and declaration MUST be on the same line as the argument list closing parentheses **with no spaces between the two characters**. The declaration keyword (e.g. string) MUST be lowercase.,FriendsOfPHP_PHP-CS-Fixer_issues_2781,5679.0,22.0,0.0,> When you have a return type declaration present there MUST be one space after the colon followed by the type declaration. The colon and declaration MUST be on the same line as the argument list closing parentheses **with no spaces between the two characters**. The declaration keyword (e.g. string) MUST be lowercase.,FriendsOfPHP_PHP-CS-Fixer_issues_2781
5690,5690.0,0.0,0.0,"[Messenger | ErrorHandler] FlattenException::setStatusText() must be of the type string, null given",symfony_symfony_issues_40815,5690.0,0.0,1.0,"[Messenger | ErrorHandler] FlattenException::setStatusText() must be of the type string, null given",symfony_symfony_issues_40815
5927,5927.0,8.0,1.0,Clone https://bitbucket.org/skintillion/morphclass,laravel_framework_issues_17231,5927.0,8.0,0.0,Clone https://bitbucket.org/skintillion/morphclass,laravel_framework_issues_17231
6005,6005.0,11.0,1.0,@schiessle,nextcloud_server_issues_1490,6005.0,11.0,0.0,@schiessle,nextcloud_server_issues_1490
6045,6045.0,15.0,0.0,"Reported on Windows 7 x64, Nginx 1.7.3, Phalcon 1.3.2 x64 NTS",phalcon_cphalcon_issues_2638,6045.0,15.0,1.0,"Reported on Windows 7 x64, Nginx 1.7.3, Phalcon 1.3.2 x64 NTS",phalcon_cphalcon_issues_2638
6072,6072.0,3.0,1.0,See alse https://en.wikipedia.org/wiki/WebAuthn,monicahq_monica_issues_1536,6072.0,3.0,0.0,See alse https://en.wikipedia.org/wiki/WebAuthn,monicahq_monica_issues_1536
6115,6115.0,42.0,1.0,2.0.36-dev result,yiisoft_yii2_issues_18086,6115.0,42.0,0.0,2.0.36-dev result,yiisoft_yii2_issues_18086
6188,6188.0,19.0,1.0,### Additional info,yiisoft_yii2_issues_17150,6188.0,19.0,0.0,### Additional info,yiisoft_yii2_issues_17150
6273,6273.0,0.0,1.0,系统接入cas问题，客户端使用wen'ti,nextcloud_server_issues_16621,6273.0,0.0,0.0,系统接入cas问题，客户端使用wen'ti,nextcloud_server_issues_16621
6274,6274.0,1.0,1.0,您好，我咨询一下，nextcloud接入cas后，客户端登录认证是否能cas认证登录。,nextcloud_server_issues_16621,6274.0,1.0,0.0,您好，我咨询一下，nextcloud接入cas后，客户端登录认证是否能cas认证登录。,nextcloud_server_issues_16621
6385,6385.0,1.0,0.0,| Q                | A,symfony_symfony_issues_22106,6385.0,1.0,1.0,| Q                | A,symfony_symfony_issues_22106
6387,6387.0,3.0,0.0,| Bug report?      | yes,symfony_symfony_issues_22106,6387.0,3.0,1.0,| Bug report?      | yes,symfony_symfony_issues_22106
6388,6388.0,4.0,0.0,| Feature request? | no,symfony_symfony_issues_22106,6388.0,4.0,1.0,| Feature request? | no,symfony_symfony_issues_22106
6389,6389.0,5.0,0.0,| BC Break report? | no,symfony_symfony_issues_22106,6389.0,5.0,1.0,| BC Break report? | no,symfony_symfony_issues_22106
6390,6390.0,6.0,0.0,| RFC?             | no,symfony_symfony_issues_22106,6390.0,6.0,1.0,| RFC?             | no,symfony_symfony_issues_22106
6391,6391.0,7.0,0.0,| Symfony version  | master,symfony_symfony_issues_22106,6391.0,7.0,1.0,| Symfony version  | master,symfony_symfony_issues_22106
6553,6553.0,33.0,0.0,Phalcon: 1.3.1 (master),phalcon_cphalcon_issues_2338,6553.0,33.0,1.0,Phalcon: 1.3.1 (master),phalcon_cphalcon_issues_2338
6554,6554.0,34.0,0.0,Phalcon: 1.3.1 (1.3.1 branch),phalcon_cphalcon_issues_2338,6554.0,34.0,1.0,Phalcon: 1.3.1 (1.3.1 branch),phalcon_cphalcon_issues_2338
6555,6555.0,35.0,0.0,Phalcon: 1.3.2 (82960cb177a02d7ddeb7b84f1ce96baa41b21cb7),phalcon_cphalcon_issues_2338,6555.0,35.0,1.0,Phalcon: 1.3.2 (82960cb177a02d7ddeb7b84f1ce96baa41b21cb7),phalcon_cphalcon_issues_2338
6713,6713.0,29.0,0.0,## $files array in getConfigurationFiles(),laravel_framework_issues_13143,6713.0,29.0,1.0,## $files array in getConfigurationFiles(),laravel_framework_issues_13143
6723,6723.0,39.0,0.0,## problematic invocation of Config\Repository::set,laravel_framework_issues_13143,6723.0,39.0,1.0,## problematic invocation of Config\Repository::set,laravel_framework_issues_13143
6737,6737.0,0.0,0.0,Internal Server Error 500 #2615,CachetHQ_Cachet_issues_2616,6737.0,0.0,1.0,Internal Server Error 500 #2615,CachetHQ_Cachet_issues_2616
6793,6793.0,14.0,0.0,- [x] [mb_str_split](https://wiki.php.net/rfc/mb_str_split) (#4380 -> #4534),FriendsOfPHP_PHP-CS-Fixer_issues_4382,6793.0,14.0,1.0,- [x] [mb_str_split](https://wiki.php.net/rfc/mb_str_split) (#4380 -> #4534),FriendsOfPHP_PHP-CS-Fixer_issues_4382
6801,6801.0,22.0,0.0,- [x] VisibilityRequiredFixer (#4641),FriendsOfPHP_PHP-CS-Fixer_issues_4382,6801.0,22.0,1.0,- [x] VisibilityRequiredFixer (#4641),FriendsOfPHP_PHP-CS-Fixer_issues_4382
6991,6991.0,14.0,0.0,The problem is related to the way OCI8 retrieves LOBs data types.,symfony_symfony_issues_3255,6991.0,14.0,1.0,The problem is related to the way OCI8 retrieves LOBs data types.,symfony_symfony_issues_3255
7040,7040.0,1.0,1.0,Since https://github.com/nextcloud/server/pull/714,nextcloud_server_issues_942,7040.0,1.0,0.0,Since https://github.com/nextcloud/server/pull/714,nextcloud_server_issues_942
7074,7074.0,11.0,0.0,3. write $this->where($filter)->except(['the filed which I didn't want'])->toArray();,laravel_framework_issues_18862,7074.0,11.0,1.0,3. write $this->where($filter)->except(['the filed which I didn't want'])->toArray();,laravel_framework_issues_18862
7080,7080.0,5.0,0.0,"- Authentication：**Log-in credentials, save in session**",nextcloud_server_issues_18238,7080.0,5.0,1.0,"- Authentication：**Log-in credentials, save in session**",nextcloud_server_issues_18238
7224,7224.0,60.0,0.0,The server dont shows any error,nextcloud_server_issues_16799,7224.0,60.0,1.0,The server dont shows any error,nextcloud_server_issues_16799
7233,7233.0,69.0,0.0,"The server dont shows any error, the loglevel was debug",nextcloud_server_issues_16799,7233.0,69.0,1.0,"The server dont shows any error, the loglevel was debug",nextcloud_server_issues_16799
7328,7328.0,18.0,0.0,-->,SpartnerNL_Laravel-Excel_issues_2731,7328.0,18.0,1.0,-->,SpartnerNL_Laravel-Excel_issues_2731
7369,7369.0,59.0,1.0,"<!-- What actually happens. Please include screenshots, strack traces and anything that can help us understand the issue. -->",SpartnerNL_Laravel-Excel_issues_2731,7369.0,59.0,0.0,"<!-- What actually happens. Please include screenshots, strack traces and anything that can help us understand the issue. -->",SpartnerNL_Laravel-Excel_issues_2731
7446,7446.0,0.0,0.0,Uncaught TypeError: Illuminate\Exception\WhoopsDisplayer when hosted on Heroku,tymondesigns_jwt-auth_issues_208,7446.0,0.0,1.0,Uncaught TypeError: Illuminate\Exception\WhoopsDisplayer when hosted on Heroku,tymondesigns_jwt-auth_issues_208
7615,7615.0,29.0,1.0,@nickvergessen @rullzer @skjnldsv ideas?,nextcloud_server_issues_12623,7615.0,29.0,0.0,@nickvergessen @rullzer @skjnldsv ideas?,nextcloud_server_issues_12623
