,Reviewer1,Text,ID,src,Fabio,Mika,Disagreement
1883,1,Hmm. It seems my app doesn't get new OTA updates. I didn't changed sdk version or any of those restricted properties. How I can debug it?,1884,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
471,1,Sound Test Result: Not run,472,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
633,0,adding: install.rdf (deflated 52%),634,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1743,1,bcostabatista shared a file: Untitled,1744,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
577,0,>    Components: spellchecker,578,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
63,1,"huh. okay, I'll give that a shot. I'd have thought the online validator would have picked that up. thanks!",64,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
353,1,This is not a blocker.,354,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1070,0,[ https://issues.apache.org/jira/browse/SOLR-134?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#action_12469643 ],1071,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1329,0,"_md_EventReceiverProc [d:\builds\seamonkey\mozilla\xpcom\threads\plevent.c, line",1330,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
617,0,http://lucene.apache.org/solr/api/org/apache/solr/response/SolrQueryResponse.html#returnable_data says that a Map \containing any of the items in this list\ may be contained in a SolrQueryResponse and will be handled by QueryResponseWriters.,618,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1119,1,I can use kubectl great but i cannot proxy at all,1120,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
499,1,> An XML commit only request handler,500,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1392,1,And two suggestions related to XSLT transformations for presentation:,1393,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
705,0,rewrite /.*\.(jpg|js$|css|html|png|bmp|gif)/(.*) /$1 break;,706,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
986,1,reassigning qa contact to chrisd,987,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
962,1,Correction:,963,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1268,1,Seems like we should get rid of it.  It's query parser specific,1269,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
10,1,"I was trying to match the prototype of the existing HTMLCanvasElement::ExtractData method as closely as possible, but I can change this if you'd like. I'd have to change the callers a bit, but this wouldn't be a problem.",11,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1612,1,"Anyone around to talk detailed RBAC permissions? Specifically, trying to limit admin access to specific namespace prefixes only. This doesn't really seem to be discussed/supported, but I think I can get close using nonResourceURLs and splats (*). Just looking to chat, as I seem to be missing something.",1613,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
222,1,"Might be related: holding middleclick button on a normal webpage makes the autoscroll image jump around the webpage, like it's sending the middleclick button event again.",223,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1973,1,"@brent thanks for the response, sorry for the lack of clarity. my objective is to have different styling depending on the device, as i ran into some rendering issues with older devices/smaller screens (iphone 7/6s/6 looks fine, whereas SE/5s/5 would have text render incorrectly)",1974,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
815,1,"See attached: screenshot, logcat",816,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1559,1,"Also, there are probably other properties marked as eStyleAnimType_None which should also exhibit this behavior. We'll fix that in bug 1260572 after checking what makes sense and what Chrome/etc. do.",1560,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1932,1,The way I understand the javadoc is,1933,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1315,1,@U7LULHTJL Look at helm and ask in that room too.,1316,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1687,1,1. Open SMS -> Open any thread with MMS having subject field,1688,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1694,0,"nsAppShellService.cpp, line 309]",1695,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
798,0,at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:175),799,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1782,1,"Dears,",1783,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1836,1,> (but that's to late for config type stuff that needs to happen in,1837,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
762,0,./dom/browser-element/Makefile.in,763,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
747,0,revisionHistoryLimit: 5,748,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
241,0,Environmental Variables:,242,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
473,1,Classic ELB?,474,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1443,0,matthew.woytowitz@mantech.com,1444,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
1673,0,js> a.target,1674,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
297,1,a volume populated by a ConfigMap,298,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
303,1,"guys, may be somebody can help me (it make me crazy)",304,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
476,0,>>> *conectTimeout*: 30000ms,477,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
377,1,> files included in release that shouldn't be,378,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1534,0,: +  <link rel=\shortcut icon\ href=\/favicon.ico\ type=\image/ico\></link>,1535,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1309,1,>>> first it's a new term to a new view of the index (logical shard AFAIK,1310,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1869,1,> >> piece - Get the list of highlights from response and then use the,1870,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
128,0,27 	xul.dll 	nsAppShell::Run 	widget/src/windows/nsAppShell.cpp:258,129,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1616,1,Noble Paul updated SOLR-667:,1617,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
685,0,* and the DocSet for each term in the filter.,686,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
240,0,22h 4m 2 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 16; reason: cpu resource utilization (percentage of request) above target,241,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,0.0,True
1737,1,"Hi smcc,",1738,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
292,1,Issue Type: Task,268,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
1671,1,Still have to mess around with the linking phases and whatnot for dev/prod builds,1672,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
99,0,> URL: https://issues.apache.org/jira/browse/SOLR-1322,100,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1060,0,r=pavlov (from bryner's machine),1061,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1175,0,* kubectl config set-credentials kubelet --certificate-authority=/path/to/ca.pem --token=xyz --embed-certs=true,1176,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
1933,0,[ https://issues.apache.org/jira/browse/SOLR-1205?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12722786#action_12722786 ],1934,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
383,0,DLS Version: 1.00.0016.0002,384,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1082,0,at org.apache.catalina.startup.HostConfig.deployDescriptors(HostConfig.java:553),1083,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
862,1,> stay a constant ratio as you change the density and/or distances?,863,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1591,1,1.enter a textarea,1592,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1710,0,nsAutoString tagName;,1711,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1176,1,by which I mean that we're behind on getting 1.9.1.8 out the door. 1.9.1.18 should be about a year away.,1177,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1647,1,"man, was about to test a snippet using the RN method RCTDeleteStorageDirectory() but it's not easy cause all the dependencies.",1648,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1414,0,+ JETTY-125 maven plugin: ensure test dependencies on classpath for,1415,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
333,1,is there a way to take a file defined in a config map?,334,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
602,1,Thanks in advance,603,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1867,1,"Oh, sorry, I'm forgetting ""."" is the thousand separator for German. So yes, this is a bug.",1868,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
157,0,>   Attachments: SOLR-767.patch,125,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,0.0,True
1161,0,minReadySeconds: 5,1162,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
1574,0,>> A lucene/solr/trunk/src/solrj/org/apache/solr/client/solrj/request/UpdateRequest.java,1575,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
476,0,</quote>,477,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
581,0,Adapter RAM (GPU #2): 2048,582,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
950,0,8 	libxul.so 	nsXPConnect::GarbageCollect 	js/src/xpconnect/src/nsXPConnect.cpp:413,951,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1002,0,[junit] 2008-03-28 08:44:56.504::INFO:  Shutdown hook complete,1003,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
247,1,"I still have kube-proxy stuck in Init, anyone an idea how to fix that?",248,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
876,0,Flame 2.0,877,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1529,0,Posting file hd.xml to http://localhost:8080/solr/update,1530,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
800,1,"I think it'd still be a pod. It would presumably need a service for you to connect to. I've launched the helm chart for it before now, but personally didn't find much use for it at the time.",801,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1684,1,"how can I get deep linking working on android? every time the browser redirect the user back to the app, the app is starts over again",1685,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
681,1,"--> When alarm rings, Setting was killed.",682,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
196,1,Another thing is that when you force mozilla to maximize while in fullscreen,197,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1921,1,"Hi I'm new to Exponent , Can any one help me understanding how to wire Fbauth , Twitter auth to exponent ?",1922,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
209,1,lookup tables because the tables get either too large or need too many,210,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1221,1,"or linkerd, which comes with opentracing built in",1222,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
3,0,User Agent: Mozilla/5.0 (Mobile; rv:33.0) Gecko/33.0 Firefox/33.0,4,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1513,1,"oh, hmm",1514,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
351,1,"Hey Jovan,",352,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1253,0,"@mdavidsen exited 34 minutes ago, https://gist.github.com/anonymous/9a776baace59b2b11f5eb97010a8a2b4",1254,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,0.0,True
1330,1,Option to uninstall the files-or-directory instead of,1331,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1169,1,"Going to about:support does trigger it, but only because we create a context when they go to about:support.",1170,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
598,1,that was my first thought,599,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1609,0,--cloud-provider=aws \,1610,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
315,1,"Hello. How can I authenticate user of my various services deployed on kubernetes? I would like to avoid letting each service having to handle oauth2. Is there a kind of proxy (sidecar model?) that can do it transparently, or a solution integrated in the frontend reverse proxy (so far for us: traefik)",316,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1242,0,Actual Results:,1243,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
276,1,> deleted.Where i have to deleted the searched result.In which class?,277,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
149,1,I did what you told me but it seems it didn't work either,150,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
733,0,/be,734,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1844,1,@nikki We use Boot as our build system for our web app and really want to use it for ReactNative app but haven't gotten it to work yet. I'll try your new template again soon and report back.,1845,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
290,1,"this is in dev in minikube, so no SSL",291,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
453,1,What do you mean ?,454,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1961,0,[d:\builds\seamonkey\mozilla\expat\xmlparse\xmlparse.c  line 921],1962,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
808,1,6.Incoming one call.,809,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1396,1,> *blockRegex* is an optional attribute that is applied after any allowRegex and discards any line which matches the regExp,1397,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
691,0,Error: 'dial tcp 10.200.3.2:8443: getsockopt: no route to host',692,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,0.0,True
1144,1,Can a pod access a configmap (mount a field as an environment variable for instance) if the configmap lives in a different namespace?,1145,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1634,1,"pure JS tends to be an inferior experience for users, despite the developer convenience",1635,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
192,0,Android CPU ABI	armeabi-v7a,193,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,0.0,True
1780,1,greweb uploaded a file: the code,1781,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
970,1,"Window.enumerateProperties"". And on the 1st window only name ""ObjectWindow"" appears.",971,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1651,0,org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:84,1652,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
655,1,"yup for sure, it's a long read but covers pretty much everything",656,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1135,1,>> it during Hit Collection in SolrIndexSearcher.,1136,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1902,1,are you on pc or mac?,1903,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
427,1,Found it. It was in patch 0010-Fix-display-problem.patch,428,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1039,0,preferences: {},1040,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
629,0,Review of attachment 640206:,630,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1411,1,@pep no prob. @mikej u mean defining the pv directly on the template (specifying the volume id)?,1412,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1747,1,crash is happening in DOM code.,1748,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1672,1,"Well I'm glad it worked out for you, sometimes the errors are occurring at irregular intervals; not continuous or predictable.",1673,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1095,1,Uplift to gaia v2.5,1096,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1370,1,Your pods should obtain IPs from a different CIDR and that's not happening,1371,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1082,0,"PRODUCT_NAME=""Java(TM) 2 Platform Standard Edition 5.0 Update 1""",1083,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1133,1,# Tests are missing,1134,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
380,1,> changes are needed that would be easier to make here.,381,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1720,0,[ https://issues.apache.org/jira/browse/SOLR-307?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#action_12513815 ],1721,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
91,1,(This had the wrong bug number in the commit message.),92,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1006,0,"x is length,2",1007,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1623,1,just delete the pod.,1624,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1669,0,>    if (termInstances == 0) {,1670,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
381,1,@3molo Still Same Sir,382,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1114,1,>> - solr cloud branch gets merged in,1115,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1820,1,animations Documentation is cool!,1821,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1630,0,> http://lucene.apache.org/nutch/apidocs-0.8.x/org/apache/nutch/analysis/CommonGrams.html,1631,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
422,0,[1] 612,423,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,0.0,True
808,0,https://github.com/microwavecausesaids/kubernetes_the_hard_way_ansible_version/blob/master/roles/master/tasks/main.yml,809,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
1379,1,"also, what is the significance of apiVersion?",1380,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1669,1,"cocoapods is managing both deps, and one can't find the other?",1670,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
98,0,>  <fieldtype name=\text_ngram\ class=\solr.TextField\ positionIncrementGap=\100\>,99,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1525,1,"upon clicking ""Name"" as mentioned above,",1526,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
124,1,Arghhh... not exactly the automated approach I was hoping for,125,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
102,1,@3molo Hi Mate How I can do that?,103,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
58,0,*,59,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1732,1,"interesting, I have no idea how multitasking works on ipads",1733,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1035,0,<int name=\electronics\>2</int>,1036,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
915,0,>  site/skin/images,916,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
486,1,"I have functional tests that I want to run a s part of a Jenkins build pipeline. I'm currently running them in a bare pod, rather than in a job, because I don't want the tests rerun in case of failure. Is it reasonable to use a bare pod?",487,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1128,1,take a look at this too: https://www.telepresence.io/,1129,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1617,1,we're using SolrCore in terms of:,1618,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1514,1,what type of workload are you working for?,1515,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
135,1,I see,136,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
598,0,>> https://svn.apache.org/repos/asf/lucene/dev/trunk/solr/src/java/org/apache/solr/analysis/LengthFilterFactory.java,599,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
2,0,> On un-optimized inde,3,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
833,0,> >   /* if field size (in characters) is greater than this threshold,834,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
1817,1,react navigation is the facto navigation solution now,1818,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
752,1,very little info to tell what's going on. one possible scenario is the svc selector is to broad and hits different pods/deployments in a round-robin fashion,753,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1,1,I produced something along the lines of a test case for this at,2,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1027,1,"Ben, could you try to figure out whether cookies work here at all?  Here's a random page which tries to figure out whether cookies are enabled, for instance.",1028,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
1103,1,my current config (old) is spawning multiple workers for nginx and php,1104,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1370,0,from /usr/local/ns/nightly/mozilla/components/libgkcontent.so,1371,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
316,1,> + A private NativeFSLockFactory lockFactory;,317,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1918,1,lol np,1919,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1543,0,https://engineering.bitnami.com/articles/a-deep-dive-into-kubernetes-controllers.html is also a good post on this.,1544,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1667,1,> StatsComponent throws error for single-valued numeric fields.,1668,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,1.0,1.0,False
441,0,"RCS file: /cvsroot/mozilla/widget/src/windows/nsToolkit.cpp,v",442,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",0.0,0.0,False
1706,0,: @@ -30,1707,lines.10k.cfo.sample.2000 - Lucene-dev mailing list.csv,0.0,0.0,False
1176,0,command,1177,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1559,0,kubectl get persistentvolumes -n X,1560,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
1663,1,nit: The function name should be InspectorPanel_scrollToSelector to be consistent with the property name scrollToSelector.,1664,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
144,0,command: $x,145,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,0.0,0.0,False
380,1,"I made a set of scripts. So each repo gets a deploy folder that the developrs copy a generic template into. Then they fill out $container_name, $app_name variables in Gitlab GUI. I have Gitlab Environment variables configured so the script points to the right k8s cluster (staging or prod) when deploying. A base image that includes kubectl, and then the deploy stage depending on branches, so prod can only be deployed manually by a few users.",381,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1433,1,"If you are trying connect in your postgres server from another pod, using the DNS name should work. I mean, considering this environment sample: Pod A: Application POD Pod B: Postgres pod Service: Postgres service which has pgmaster.default.svc.cluster.local as DNS name If you Pod A uses I don't know, Java, for example; You can use JDBC like jdbc:postgresql://pgmaster.default.svc.cluster.local:5432/dbname to connect in the postgres pod, but the POD A *will not able* to perform a ICMP request to Pod B if the Pod B through the service.",1434,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1095,1,that kind of global configuration goes against kubernetes' paradigm,1096,lines.10k.cfo.sample.2000 - Kubernetes (Slackarchive.io).csv,1.0,1.0,False
1413,1,"However I could replicate the test case from comment 2, but not replicate your test case from comment #19, point 1.",1414,"lines.10k.cfo.sample.2000 - Mozilla (Firefox, Core, OS).csv",1.0,1.0,False
